key,x,y,z,half,arm,requested_mode,used_mode,point_in_danger,candidate_goal_count,success,label,best_cost,safe_goal_count,fallback_goal_count
0.100_-0.300_0.560,0.1,-0.3,0.56,lower,R,auto,free,True,42,True,fallback,0.5294937989446886,0,42
0.100_0.300_0.560,0.1,0.3,0.56,upper,L,auto,free,True,21,True,fallback,0.5998306138938194,0,21
0.100_0.300_0.560,0.1,0.3,0.56,upper,R,auto,free,True,36,True,fallback,1.0714487604845568,0,36
0.100_0.400_0.560,0.1,0.4,0.56,upper,L,auto,free,True,12,True,fallback,1.3249896920128572,0,12
0.100_0.400_0.560,0.1,0.4,0.56,upper,R,auto,free,True,27,True,fallback,1.6814486361399692,0,27
0.100_0.500_0.560,0.1,0.5,0.56,upper,L,auto,free,True,0,False,unplanned,,0,0
0.100_0.500_0.560,0.1,0.5,0.56,upper,R,auto,free,True,18,True,fallback,2.2752967713215266,0,18
0.200_-0.500_0.560,0.2,-0.5,0.56,lower,L,auto,free,False,0,False,unplanned,,0,0
0.200_-0.500_0.560,0.2,-0.5,0.56,lower,R,auto,safe,False,8,True,safe,1.3095439310278727,8,11
0.200_-0.400_0.560,0.2,-0.4,0.56,lower,L,auto,free,False,0,False,unplanned,,0,0
0.200_-0.400_0.560,0.2,-0.4,0.56,lower,R,auto,safe,False,8,True,safe,1.3762621178503007,8,15
0.200_-0.300_0.560,0.2,-0.3,0.56,lower,L,auto,free,True,0,False,unplanned,,0,0
0.200_-0.300_0.560,0.2,-0.3,0.56,lower,R,auto,free,True,48,True,fallback,0.41608159620086704,0,48
0.200_0.300_0.560,0.2,0.3,0.56,upper,L,auto,free,True,3,True,fallback,1.512850375230929,0,3
0.200_0.300_0.560,0.2,0.3,0.56,upper,R,auto,free,True,42,True,fallback,2.0031850973712366,0,42
0.200_0.400_0.560,0.2,0.4,0.56,upper,L,auto,free,False,0,False,unplanned,,0,0
0.200_0.400_0.560,0.2,0.4,0.56,upper,R,auto,safe,False,8,True,safe,2.2395330819175303,8,21
0.200_0.500_0.560,0.2,0.5,0.56,upper,L,auto,free,False,0,False,unplanned,,0,0
0.200_0.500_0.560,0.2,0.5,0.56,upper,R,auto,safe,False,5,True,safe,2.2327773133012725,5,16
0.300_-0.500_0.560,0.3,-0.5,0.56,lower,L,auto,free,False,0,False,unplanned,,0,0
0.300_-0.500_0.560,0.3,-0.5,0.56,lower,R,auto,safe,False,8,True,safe,1.1339778433185925,8,4
0.300_-0.400_0.560,0.3,-0.4,0.56,lower,L,auto,free,False,0,False,unplanned,,0,0
0.300_-0.400_0.560,0.3,-0.4,0.56,lower,R,auto,safe,False,8,True,safe,0.7563536731195097,8,12
0.300_-0.300_0.560,0.3,-0.3,0.56,lower,L,auto,free,False,0,False,unplanned,,0,0
0.300_-0.300_0.560,0.3,-0.3,0.56,lower,R,auto,safe,False,8,True,safe,1.1754676351222,8,16
0.300_0.300_0.560,0.3,0.3,0.56,upper,L,auto,free,False,0,False,unplanned,,0,0
0.300_0.300_0.560,0.3,0.3,0.56,upper,R,auto,safe,False,8,True,safe,2.0403261011241245,8,12
0.300_0.400_0.560,0.3,0.4,0.56,upper,L,auto,free,False,0,False,unplanned,,0,0
0.300_0.400_0.560,0.3,0.4,0.56,upper,R,auto,safe,False,8,True,safe,2.149312128169149,8,15
0.300_0.500_0.560,0.3,0.5,0.56,upper,L,auto,free,False,0,False,unplanned,,0,0
0.300_0.500_0.560,0.3,0.5,0.56,upper,R,auto,safe,False,8,True,safe,1.7748143040841744,8,2
0.400_-0.500_0.560,0.4,-0.5,0.56,lower,L,auto,free,False,0,False,unplanned,,0,0
0.400_-0.500_0.560,0.4,-0.5,0.56,lower,R,auto,safe,False,8,True,safe,1.2714438442052933,8,0
0.400_-0.400_0.560,0.4,-0.4,0.56,lower,L,auto,free,False,0,False,unplanned,,0,0
